Filename,Type,Label,Detected,Max_Score,Score_Smooth,Score_Bit-2,Score_Bit-2+Smooth
car.jpg,clean,sports car,True,0.8729,0.6388,0.8729,0.5691
car.jpg,adversarial,cab,True,1.8853,0.0141,0.6430,1.8853
mouse.jpg,clean,mouse,True,1.4409,0.0082,1.4409,1.0783
mouse.jpg,adversarial,ocarina,True,1.8847,0.0000,1.8847,1.8721
tiger.jpg,clean,tiger,True,0.3302,0.1499,0.3302,0.2782
tiger.jpg,adversarial,Egyptian cat,True,1.9957,1.9866,1.9780,1.9957
car.jpg,clean,sports car,False,0.8729,0.6388,0.8729,0.5691
car.jpg,adversarial,cab,True,1.8754,0.0106,0.6506,1.8754
mouse.jpg,clean,mouse,False,1.4409,0.0082,1.4409,1.0783
mouse.jpg,adversarial,ocarina,True,1.8753,0.0000,1.3366,1.8753
tiger.jpg,clean,tiger,False,0.3302,0.1499,0.3302,0.2782
tiger.jpg,adversarial,Egyptian cat,True,1.9971,1.9769,1.9936,1.9971
